Year Class,Norton Sound,Togiak,Kodiak/Kamishak,Pr. William Sound,Seymour Canal,Sitka,Southeast,Craig,Kah Shakes,Prince Rupert,Queen Charlotte,Central Coast,Vancouver Island,Strait of Georgia
1917,,,,,,,7.6,,,,,,,
1918,,,,,,,45.2,,,,,,,
1919,,,,,,,18.5,,,,,,,
1920,,,,,,,39.8,,,,,,,
1921,,,,,,,55.2,,,,,,,
1922,,,,,,,171.3,,,,,,,
1923,,,,,,,238.2,,,,,,,
1924,,,,,,,164,,,,,,,
1925,,,83,122.4,,,2080.1,,,,,,,
1926,,,234.7,301.3,,,907.9,,,,,,,
1927,,,128.3,209.5,,,295.5,,,,,,,
1928,,,97.8,247.1,,,856,,,,,,,
1929,,,115.5,189,,,265.6,,,,,,,
1930,,,1368.8,1337.8,,,2124.8,,,,,,,
1931,,,140.8,115.7,,,171.5,,,,,,,
1932,,,75.4,103.5,,,160.5,,,,,,,
1933,,,85.6,82.8,,,218.6,,,,,,,
1934,,,366.2,908.2,,,581.1,,,,,,,
1935,,,1084.6,782.2,,,166.8,,,,,,,
1936,,,103.9,145.2,,,45.2,,,,,,,
1937,,,88.1,194.1,,,24.3,,,,,,,
1938,,,627.6,219.5,,,76.8,,,,,,,
1939,,,1050,31.1,,,283.3,,,,,,,
1940,,,658.3,131.2,,,191.8,,,,,,,
1941,,,381.7,220,,,535.7,,,,,,,
1942,,,237,125.5,,,224.9,,,,,,,
1943,,,532.3,461.6,,,869.2,,,,,,,
1944,,,101.1,103.5,,,152.6,,,,,,,
1945,,,69.9,112.5,,,149.4,,,,,,,
1946,,,363.8,64.2,,,305.2,,,,,,,
1947,,,18.3,155.3,,,150.6,,,,,,,
1948,,,5.9,20.2,,,79.9,,,610.3,186.1,304.5,214.4,869.3
1949,,,8.4,17.7,,,102.5,,,319.5,198.7,116.6,172.7,1029
1950,,,67,202.1,,,211.2,,,327.4,275.8,152.8,249.4,1172.3
1951,,,29.2,2.1,,,92.5,,,770.5,1346.2,955,426.3,2112
1952,,,588.9,427.6,,,1717.9,,,244.1,164.7,102.2,240.6,1286.3
1953,,,14.3,9.4,,,112.9,,,603.5,215.4,117.9,322,732.8
1954,,,4.7,21.9,,,72.7,,,188.8,67.7,230.5,419,666.2
1955,,,10.2,38.2,,,73.1,,,338.8,93.1,375.2,515.8,580.6
1956,,,30,,,,602.5,,,696.2,149.9,450.1,689.9,1528
1957,,,,,,,1009.7,,,227.3,75.4,107.2,453.4,101.8
1958,,,,,,,94,,,1197.1,239.9,213.2,221.4,523.7
1959,,,,,,,70,,,604.8,290.5,603.1,518.8,1207.4
1960,,,,,,,87.3,,,349.7,552,305.1,275.8,1142.4
1961,,,,,,,23,,,99.4,113.4,284.6,381.9,1041
1962,,,,,,,16.4,,,128.9,303.2,105.1,101.8,530.9
1963,,,,,,,117.9,,,19.2,20,136.8,92.6,237.6
1964,,,,,,442.1,442.1,,,52.9,15,119.2,165.8,225.1
1965,,,,,,54.2,54.2,,,53.7,19.7,24.3,4.3,68.3
1966,,,,,,27.5,27.5,,,91.8,42.9,27.1,63.2,99
1967,,,,,,13.8,197.3,183.5,,487.9,119.5,134.8,333.6,319.2
1968,,,,,,94.9,132,37.1,,360.3,270.9,115.4,687.2,367.9
1969,,4.2,,,12.68,147.9,161,13.1,429.1,164.8,234,143,516.7,288.6
