Year,SECURITY,GOODNEWS,AVINOF,NELSON,NUNIVAK,NORTON,ROMANZOF,TOGIAK,KODIAK,COOK,PWS,TENAKEE,HOONAH,SITKA,ERNEST,CRAIG,PRD,2W,HG,CC,27,WCVI,SOG,SEMIAHMOO,CHERRY PT,SAM/PORT,INT.SJ,NWSJ,FIDALGO,SKAGIT,DUNG,SEQUIM,HOLMES,SUSAN,KILISUT,DISCO,PGAMBLE,QUILCENE,PO-PM,ELLIOT,S.HOOD,QM,PURDY,WOLLO,SQUAXIN,YAQUINA,HUMBO,TOMALES,SFB
1951,,,,,,,,,,,,,,,,,27149,,4213,15390,,19597,66143,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,,,,,,,,,,,,,,,,,24047,,2578,10295,,13310,72376,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,,,,,,,,,,,,,,,,,28468,,7555,18237,,39571,111307,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,,,,,,,,,,,,,,,,,13535,,12408,13967,,20648,8211,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,,,,,,,,,,,,,,,,,14485,,6437,13564,,15112,69854,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,,,,,,,,,,,,,,,,,14533,,6042,6626,,24183,25667,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,,,,,,,,,,,,,,,,,27518,,1592,4607,,44114,24465,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,,,,9882,,815,3549,,18986,16911,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,,,,,,,,,,,,,,,,,40961,,8981,3904,,12979,47864,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,,,,,,,,,,,,,,,,,16545,,6599,12615,,6015,55709,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,,,,,,,,,,,,,,,,,12059,,8981,4265,,10556,44326,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,,,,,,,,,,,,,,,,,23629,,5730,11948,,34470,35531,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,,,,,,,,,,,,,,,,,16981,,7297,6485,,11245,37381,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,,,,,,,,,,,,,,,,,26919,,4104,6464,,22761,35954,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,,,,,,,,,,,,,,,,,6055,,1378,2097,,11891,38390,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,,,,,,,,,,,,,,,,,7105,,2824,1863,,3722,7211,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,,,,,,,,,,,,,,,,,3386,,710,5434,,4813,9647,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,,,,,,,,,,,,,,,,,5197,,833,5790,,11029,9442,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,,,,,,,,,,,,,,,,,965,,2075,1837,,10465,14039,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,,,,,,,,,,,,,,,,,8814,,5552,8230,,26912,34163,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,,,,,,,,,,,,,756,,11884,,8480,,13291,4156,,36206,38921,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,,,,,,,,,,,,,604,,3311,,8774,,9542,3572,,41857,25139,,13606,,,,,,,,,,,,,,,,,,,,,,,,
1973,,,,,,,,,,,,,302,,408,,10959,,7960,12434,,19481,16191,,12667,,,,,,,,,,,,,,,,,,,,,,,,
1974,,,,,,,,,,,97332,,906,,363,,9244,,14510,8852,,25540,40571,,,,,,,,,,,,,,,,,,,,,,,,,5953,
1975,,,,,,,,,,,,,,5806,2631,,10565,,9686,8037,,49149,70208,700,9378,99,,,,,,,,,253,,,,805,,,,,,270,,338,4289,
1976,,,,,,,,,,,22904,,302,6622,3946,,15199,,15986,13849,,64200,60511,291,10745,70,9,142,,434,,43,114,,449,632,1036,253,406,,446,1231,,,1940,,221,7179,
1977,,,,,,,,,,,15839,,1058,5126,2753,,10425,,15717,14613,,58679,78113,575,10067,29,16,26,,206,,85,122,,,1350,2291,210,1223,,403,1282,,,18,,,4611,
1978,,,,,,,,172630,,,33149,,1601,4082,1365,,4734,832,16885,7747,3595,45607,101784,,9955,,,,,,,9,,,230,1184,1800,13,,,,1687,,,53,,,20106,
1979,,,,,,,,216837,2177,,97423,2268,151,18416,231,,7600,494,12236,5669,6909,66397,63973,,9033,302,,,,,,,,,,800,1624,,1139,,,1761,,,124,277,,,
1980,,,,,,,,62311,2177,,110722,4069,,35834,454,,11001,2114,30455,12957,14419,62308,85679,,8463,914,,,250,411,39,304,71,,433,2921,2095,,1935,,,1751,,,620,232,,5464,42129
1981,7530,3901,,,,,,143925,2177,,146683,6804,680,24494,372,,12939,1811,18823,15811,1828,52014,54754,914,5642,,,,414,,,,,,294,2785,1590,,808,,,1612,,,700,241,,5058,54082
1982,4627,2359,,,,,,88815,2177,,88559,6033,454,27216,145,,16108,4781,22159,16239,4137,31926,101025,1260,4846,281,,,165,,,,71,1262,,2137,1327,,1101,,161,1613,,,,286,,6485,80812
1983,5806,2903,,,,,,128623,2177,,97713,8047,302,29801,1488,,23575,4869,19470,18214,2501,16771,66201,793,7315,144,,,581,,179,,,1268,,2339,2184,,1498,,,825,,,,282,,10015,44931
1984,4627,3719,,,,,,104218,2177,,144025,10977,490,27715,907,,25702,2522,22120,13788,3004,23872,26054,700,5353,145,,,673,,,28,,1411,,2852,2436,,1173,,,1257,,,,303,,1161,34098
1985,4445,3901,,8618,5171,,,119204,1814,,55297,9979,1058,34927,907,,39606,1719,17232,8483,1382,30010,25024,2109,5225,71,,,690,,,16,829,1198,,1313,2165,,1284,,,605,,,,417,,5975,34271
1986,3357,2722,,6622,5443,,,85910,1533,,49732,11340,1133,28077,907,,25580,684,5679,20856,3495,39514,41575,1328,5145,72,,,663,,212,,,847,,1421,1860,,1747,,,1071,,,,1869,,5443,37893
1987,2087,1814,,7348,3992,,,80195,1488,,47348,5987,671,22453,,,38673,989,10750,12431,952,16858,41797,,2820,,,363,805,1408,,,,1103,,1445,1856,62,2302,,,838,,,,1402,,5260,44199
1988,4451,4063,3727,6488,2540,,,122213,1873,,60940,5443,1510,41776,,15014,33957,3380,13631,26457,1612,46242,24976,1783,4017,,,,,1216,,,,517,,774,1261,,1547,,,680,,,,1234,,1870,54572
