Year,SECURITY,GOODNEWS,AVINOF,NELSON,NUNIVAK,NORTON,ROMANZOF,TOGIAK,KODIAK,COOK,PWS,TENAKEE,HOONAH,SITKA,ERNEST,CRAIG,PRD,2W,HG,CC,27,WCVI,SOG,SEMIAHMOO,CHERRY PT,SAM/PORT,INT.SJ,NWSJ,FIDALGO,SKAGIT,DUNG,SEQUIM,HOLMES,SUSAN,KILISUT,DISCO,PGAMBLE,QUILCENE,PO-PM,ELLIOT,S.HOOD,QM,PURDY,WOLLO,SQUAXIN,YAQUINA,HUMBO,TOMALES,SFB
1951, , , , , , , , , , , , , , , , ,27149, ,4213,15390, ,19597,66143, , , , , , , , , , , , , , , , , , , , , , , , , , 
1952, , , , , , , , , , , , , , , , ,24047, ,2578,10295, ,13310,72376, , , , , , , , , , , , , , , , , , , , , , , , , , 
1953, , , , , , , , , , , , , , , , ,28468, ,7555,18237, ,39571,111307, , , , , , , , , , , , , , , , , , , , , , , , , , 
1954, , , , , , , , , , , , , , , , ,13535, ,12408,13967, ,20648,8211, , , , , , , , , , , , , , , , , , , , , , , , , , 
1955, , , , , , , , , , , , , , , , ,14485, ,6437,13564, ,15112,69854, , , , , , , , , , , , , , , , , , , , , , , , , , 
1956, , , , , , , , , , , , , , , , ,14533, ,6042,6626, ,24183,25667, , , , , , , , , , , , , , , , , , , , , , , , , , 
1957, , , , , , , , , , , , , , , , ,27518, ,1592,4607, ,44114,24465, , , , , , , , , , , , , , , , , , , , , , , , , , 
1958, , , , , , , , , , , , , , , , ,9882, ,815,3549, ,18986,16911, , , , , , , , , , , , , , , , , , , , , , , , , , 
1959, , , , , , , , , , , , , , , , ,40961, ,8981,3904, ,12979,47864, , , , , , , , , , , , , , , , , , , , , , , , , , 
1960, , , , , , , , , , , , , , , , ,16545, ,6599,12615, ,6015,55709, , , , , , , , , , , , , , , , , , , , , , , , , , 
1961, , , , , , , , , , , , , , , , ,12059, ,8981,4265, ,10556,44326, , , , , , , , , , , , , , , , , , , , , , , , , , 
1962, , , , , , , , , , , , , , , , ,23629, ,5730,11948, ,34470,35531, , , , , , , , , , , , , , , , , , , , , , , , , , 
1963, , , , , , , , , , , , , , , , ,16981, ,7297,6485, ,11245,37381, , , , , , , , , , , , , , , , , , , , , , , , , , 
1964, , , , , , , , ,797, , , , , , , ,26919, ,4104,6464, ,22761,35954, , , , , , , , , , , , , , , , , , , , , , , , , , 
1965, , , , , , , , ,6280, , , , , , , ,6055, ,1378,2097, ,11891,38390, , , , , , , , , , , , , , , , , , , , , , , , , , 
1966, , , , , , , , ,2692, , , , , , , ,7105, ,2824,1863, ,3722,7211, , , , , , , , , , , , , , , , , , , , , , , , , , 
1967, , , , , , , , ,1780, , , , , , , ,3386, ,710,5434, ,4813,9647, , , , , , , , , , , , , , , , , , , , , , , , , , 
1968, , , , , , , , ,1829, , , , , , , ,5197, ,833,5790, ,11029,9442, , , , , , , , , , , , , , , , , , , , , , , , , , 
1969, , , , , , , , ,1035, , , , , , , ,965, ,2075,1837, ,10465,14039, , , , , , , , , , , , , , , , , , , , , , , , , , 
1970, , , , , , , , ,318, , , , , ,15, ,8814, ,5552,8230, ,26912,34163, , , , , , , , , , , , , , , , , , , , , , , , , ,5
1971, , , , , , , , ,298, , , ,756,252,12071, ,8480, ,13291,4156, ,36206,38921, , , , , , , , , , , , , , , , , , , , , , , , , ,12
1972, , , , , , , , ,240, , , ,604,547,4188, ,8774, ,9542,3572, ,41857,25139, ,13606, , , , , , , , , , , , , , , , , , , , , , , ,3
1973, , , , , , , , ,915, , , ,302,487,1111, ,10959, ,7960,12434, ,19481,16191, ,12667, , , , , , , , , , , , , , , , , , , , , , ,542,0
1974, , , , , , , , ,824, ,103115, ,906,646,848, ,9244, ,14510,8852, ,25540,40571, , , , , , , , , , , , , , , , , , , , , , , , ,6426,1758
1975, , , , , , , , ,12, ,5311, , ,7152,3169, ,10565, ,9686,8037, ,49149,70208,700,9378,99, , , , , , , , ,253, , , ,805, , , , , ,270, ,339,4759,466
1976, , , , , , , , ,5, ,25248, ,302,7348,4588, ,15199, ,15986,13849, ,64200,60511,291,10745,70,9,142, ,434, ,43,114, ,449,632,1036,253,406, ,446,1231, , ,1940, ,232,7310,1559
1977, , , , , , , , ,307, ,17896, ,1058,5126,3615, ,10425, ,15717,14613, ,58679,78113,575,10067,29,16,26, ,206, ,85,122, , ,1350,2291,210,1223, ,403,1282, , ,18, ,,4923,3811
1978, , , , , , , ,179663,1182,365,34411, ,1601,4241,1778, ,4734,832,16885,7747,3595,45607,101784, ,9955, , , , , , ,9, , ,230,1184,1800,13, , , ,1687, , ,53, ,,20692,4524
1979, , , , , , , ,226930,3864,376,101177,2268,151,20737,231, ,7600,494,12236,5669,6909,66397,63973, ,9033,302, , , , , , , , , ,800,1624, ,1139, , ,1761, , ,124,322,,406,3739
1980, , , , , , , ,84552,4684,0,116458,4526, ,39812,454, ,11001,2114,30455,12957,14419,62308,85679, ,8463,914, , ,250,411,39,304,71, ,433,2921,2095, ,1935, , ,1751, , ,620,280,,6011,47962
1981,8594,4497, , , , , ,155255,4067,0,159496,7572,680,27675,372, ,12939,1811,18823,15811,1828,52014,54754,914,5642, , , ,414, , , , , ,294,2785,1590, ,808, , ,1612, , ,700,282,,5464,59367
1982,5364,2800, , , , , ,108611,4079,0,95690,6656,454,31248,145, ,16108,4781,22159,16239,4137,31926,101025,1260,4846,281, , ,165, , , ,71,1262, ,2137,1327, ,1101, ,161,1613, , , ,291,,7257,90260
1983,6779,3298, , , , , ,152923,4310,0,100599,8726,302,34744,1488, ,23575,4869,19470,18214,2501,16771,66201,793,7315,144, , ,581, ,179, , ,1268, ,2339,2184, ,1498, , ,825, , , ,337,,10761,53726
1984,4931,4370, , , , , ,121835,4251,0,150016,11539,490,32950,907, ,25702,2522,22120,13788,3004,23872,26054,700,5353,145, , ,673, , ,28, ,1411, ,2852,2436, ,1173, , ,1257, , , ,365,,1261,36673
1985,5110,4558, ,9505,5496, , ,142620,3692,1027,62263,11255,1058,41708,907, ,39606,1719,17232,8483,1382,30010,25024,2109,5225,71, , ,690, , ,16,829,1198, ,1313,2165, ,1284, , ,605, , , ,484,,6365,41293
